,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
1181,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1182,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1183,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1184,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1185,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1186,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1187,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1188,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1189,7011505,광운인공지능고등학교,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),서울특별시,노원구
1190,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1191,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1192,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1193,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1194,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1195,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1196,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1197,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1198,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1199,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1200,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1201,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1202,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1203,7011498,서울인공지능고등학교,5771,서울특별시 송파구 양산로 21,(거여동),서울특별시,송파구
1204,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1205,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1206,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1207,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1208,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1209,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1210,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
1211,7011495,용산철도고등학교,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),서울특별시,용산구
